provisional_jockey_id,raw_jockey_label,label_role,strict_comparison_key,identity_status,mapping_method,confidence,verification_id,evidence_reference,database_action
JOCKEY-PROVISIONAL-0001,Mlle Marie Velon,mlle_source_label,marie velon,provisional_source_label_identity,targeted_external_profile_verification,high,NB22-JOCKEY-0002,jockey_strict_candidate_review_queue.csv#JOCKEY-STRICT-0002,map_raw_label_to_provisional_jockey_identity
JOCKEY-PROVISIONAL-0001,Mme Marie Velon,mme_source_label,marie velon,provisional_source_label_identity,targeted_external_profile_verification,high,NB22-JOCKEY-0002,jockey_strict_candidate_review_queue.csv#JOCKEY-STRICT-0002,map_raw_label_to_provisional_jockey_identity
