candidate_course_label,candidate_jurisdiction,physical_venue_name,locality,region,country,latitude,longitude,iana_timezone,location_evidence,location_validation_status,raw_course_labels,provisional_races,meeting_dates,earliest_date,latest_date
Morlaix,France,Hippodrome de Morlaix Langolvas,Morlaix,Brittany,France,48.5840395,-3.7951309,Europe/Paris,"Nominatim conservative automatic selection from query 'Morlaix hippodrome, France'; selected result index 0.",automatically_validated,Morlaix (FR),7,5,2015-05-01,2021-06-13
Moulins,France,,,,,,,Europe/Paris,,unassigned,Moulins (FR),11,7,2016-04-16,2025-04-05
Nancy,France,Hippodrome de Nancy-Brabois,Vandœuvre-lès-Nancy,Grand Est,France,48.6536765,6.1426347,Europe/Paris,"Nominatim conservative automatic selection from query 'Nancy hippodrome, France'; selected result index 0.",automatically_validated,Nancy (FR),8,8,2017-09-24,2024-05-22
Nantes,France,,,,,,,Europe/Paris,,unassigned,Nantes (FR),44,32,2015-03-24,2025-04-09
Nimes,France,,,,,,,Europe/Paris,,unassigned,Nimes (FR),1,1,2015-02-22,2015-02-22
Nort-Sur-Erdre,France,,,,,,,Europe/Paris,,unassigned,Nort-Sur-Erdre (FR),2,1,2021-06-06,2021-06-06
Orleans,France,,,,,,,Europe/Paris,,unassigned,Orleans (FR),1,1,2023-05-14,2023-05-14
Pau,France,,,,,,,Europe/Paris,,unassigned,Pau (FR),51,29,2015-12-25,2024-02-08
Pompadour,France,Hippodrome de Pompadour,Brive-la-Gaillarde,Nouvelle-Aquitaine,France,45.3913678,1.3838354,Europe/Paris,"Nominatim conservative automatic selection from query 'Pompadour hippodrome, France'; selected result index 0.",automatically_validated,Pompadour (FR),1,1,2015-05-17,2015-05-17
Pornichet-La Baule,France,,,,,,,Europe/Paris,,unassigned,Pornichet-La Baule (FR),8,7,2015-01-15,2021-01-27
Rochefort-Sur-Loire,France,,,,,,,Europe/Paris,,unassigned,Rochefort-Sur-Loire (FR),1,1,2016-07-31,2016-07-31
Royan La Palmyre,France,,,,,,,Europe/Paris,,unassigned,Royan La Palmyre (FR),1,1,2016-08-21,2016-08-21
Saint-Brieuc,France,,,,,,,Europe/Paris,,unassigned,Saint-Brieuc (FR),4,3,2015-11-11,2021-03-07
Saint-Cloud,France,,,,,,,Europe/Paris,,unassigned,Saint-Cloud (FR),2558,311,2015-03-07,2025-10-09
Saint-Malo,France,,,,,,,Europe/Paris,,unassigned,Saint-Malo (FR),6,6,2015-05-12,2025-08-18
Salon-de-Provence,France,,,,,,,Europe/Paris,,unassigned,Salon-de-Provence (FR),4,3,2018-05-14,2022-06-22
Senonnes-Pouance,France,,,,,,,Europe/Paris,,unassigned,Senonnes-Pouance (FR),5,5,2015-03-08,2021-04-14
Sille-Le-Guillaume,France,,,,,,,Europe/Paris,,unassigned,Sille-Le-Guillaume (FR),2,1,2016-08-14,2016-08-14
Strasbourg,France,Hippodrome de Strasbourg-Hoerdt,Haguenau-Wissembourg,Grand Est,France,48.6840988,7.7889255,Europe/Paris,"Nominatim conservative automatic selection from query 'Strasbourg hippodrome, France'; selected result index 0.",automatically_validated,Strasbourg (FR),18,16,2015-09-27,2025-09-27
Tarbes,France,,,,,,,Europe/Paris,,unassigned,Tarbes (FR),5,3,2018-05-10,2022-07-25
Toulouse,France,,,,,,,Europe/Paris,,unassigned,Toulouse (FR),92,56,2015-02-17,2025-10-01
Tours,France,,,,,,,Europe/Paris,,unassigned,Tours (FR),2,2,2015-05-01,2020-09-27
Vannes,France,,,,,,,Europe/Paris,,unassigned,Vannes (FR),1,1,2021-05-08,2021-05-08
Vichy,France,Hippodrome de Vichy-Bellerive,Vichy,Auvergne-Rhône-Alpes,France,46.1300916,3.406845,Europe/Paris,"Nominatim conservative automatic selection from query 'Vichy hippodrome, France'; selected result index 0.",automatically_validated,Vichy (FR),79,67,2015-07-20,2025-07-18
Vire,France,,,,,,,Europe/Paris,,unassigned,Vire (FR),1,1,2015-04-05,2015-04-05
Vittel,France,Hippodrome de Vittel,Vittel,Grand Est,France,48.2145399,5.9433841,Europe/Paris,"Nominatim conservative automatic selection from query 'Vittel hippodrome, France'; selected result index 0.",automatically_validated,Vittel (FR),1,1,2018-07-14,2018-07-14
Wissembourg,France,,,,,,,Europe/Paris,,unassigned,Wissembourg (FR),2,2,2022-05-01,2025-05-18
Bad Doberan,Germany,,,,,,,Europe/Berlin,,unassigned,Bad Doberan (GER),1,1,2017-08-05,2017-08-05
Baden-Baden,Germany,,,,,,,Europe/Berlin,,unassigned,Baden-Baden (GER),158,95,2015-06-04,2025-09-07
Bremen,Germany,,,,,,,Europe/Berlin,,unassigned,Bremen (GER),2,2,2015-06-21,2016-06-26
Cologne,Germany,,,,,,,Europe/Berlin,,unassigned,Cologne (GER),97,74,2015-04-06,2025-10-12
Dortmund,Germany,,,,,,,Europe/Berlin,,unassigned,Dortmund (GER),32,31,2015-05-14,2025-09-21
Dresden,Germany,,,,,,,Europe/Berlin,,unassigned,Dresden (GER),11,11,2015-06-13,2023-09-23
Dusseldorf,Germany,,,,,,,Europe/Berlin,,unassigned,Dusseldorf (GER),95,67,2015-04-12,2025-10-05
Frankfurt,Germany,,,,,,,Europe/Berlin,,unassigned,Frankfurt (GER),1,1,2015-05-03,2015-05-03
Hamburg,Germany,,,,,,,Europe/Berlin,,unassigned,Hamburg (GER),69,49,2015-06-27,2025-07-08
Hanover,Germany,,,,,,,Europe/Berlin,,unassigned,Hanover (GER),72,47,2015-05-17,2024-10-27
