candidate_course_label,candidate_jurisdiction,physical_venue_name,locality,region,country,latitude,longitude,iana_timezone,location_evidence,location_validation_status,raw_course_labels,provisional_races,meeting_dates,earliest_date,latest_date
L'Ancresse,Guernsey,,,,,,,Europe/Guernsey,,unassigned,L'Ancresse (GUE),20,4,2015-05-04,2019-05-06
Happy Valley,Hong Kong,,,,,,,Asia/Hong_Kong,,unassigned,Happy Valley (HK),2687,316,2016-01-06,2025-10-08
Sha Tin,Hong Kong,,,,,,,Asia/Hong_Kong,,unassigned,Sha Tin (HK),4160,435,2015-01-25,2025-10-12
Kincsem Park,Hungary,,,,,,,Europe/Budapest,,unassigned,Kincsem Park (HUN),3,2,2023-09-02,2025-09-07
Ballinrobe,Ireland,Ballinrobe Racecourse,,Claremorris-Swinford Municipal District,Ireland,53.6383043,-9.2477463,Europe/Dublin,"Nominatim conservative automatic selection from query 'Ballinrobe racecourse, Ireland'; selected result index 0.",automatically_validated,Ballinrobe (IRE),750,103,2015-05-25,2025-09-12
Bellewstown,Ireland,,,,,,,Europe/Dublin,,unassigned,Bellewstown (IRE),554,73,2015-07-02,2025-10-02
Clonmel,Ireland,Clonmel Racecourse,,The Borough District of Clonmel,Ireland,52.3662543,-7.6801616,Europe/Dublin,"Nominatim conservative automatic selection from query 'Clonmel racecourse, Ireland'; selected result index 0.",automatically_validated,Clonmel (IRE),867,123,2015-02-10,2025-10-02
Cork,Ireland,Cork Racecourse Mallow,,The Municipal District of Kanturk-Mallow,Ireland,52.1296062,-8.6903522,Europe/Dublin,"Nominatim conservative automatic selection from query 'Cork racecourse, Ireland'; selected result index 0.",automatically_validated,Cork (IRE),1462,199,2015-01-03,2025-10-12
Curragh,Ireland,,,,,,,Europe/Dublin,,unassigned,Curragh (IRE),1743,226,2015-03-29,2025-10-04
Down Royal,Ireland,,,,,,,Europe/Dublin,,unassigned,Down Royal (IRE),927,131,2015-02-11,2025-09-29
Downpatrick,Ireland,,,,,,,Europe/Dublin,,unassigned,Downpatrick (IRE),738,105,2015-03-04,2025-10-10
Dundalk (AW),Ireland,,,,,,,Europe/Dublin,,unassigned,Dundalk (AW) (IRE),3318,428,2015-01-02,2025-10-14
Fairyhouse,Ireland,,,,,,,Europe/Dublin,,unassigned,Fairyhouse (IRE),1660,224,2015-01-01,2025-10-11
Galway,Ireland,,,,,,,Europe/Dublin,,unassigned,Galway (IRE),1029,137,2015-07-27,2025-10-07
Gowran Park,Ireland,,,,,,,Europe/Dublin,,unassigned,Gowran Park (IRE),1446,194,2015-01-22,2025-10-04
Kilbeggan,Ireland,,,,,,,Europe/Dublin,,unassigned,Kilbeggan (IRE),692,95,2015-04-24,2025-09-05
Killarney,Ireland,Killarney Racecourse,Killarney,Killarney Municipal District,Ireland,52.0469329,-9.5154436,Europe/Dublin,"Nominatim conservative automatic selection from query 'Killarney racecourse, Ireland'; selected result index 0.",automatically_validated,Killarney (IRE),987,132,2015-05-10,2025-10-06
Laytown,Ireland,,,,,,,Europe/Dublin,,unassigned,Laytown (IRE),60,10,2015-09-10,2025-09-04
Leopardstown,Ireland,Leopardstown Racecourse,Dún Laoghaire-Rathdown,Leinster,Ireland,53.2638574,-6.1890407,Europe/Dublin,"Nominatim conservative automatic selection from query 'Leopardstown racecourse, Ireland'; selected result index 0.",automatically_validated,Leopardstown (IRE),1771,242,2015-01-18,2025-09-13
Limerick,Ireland,,,,,,,Europe/Dublin,,unassigned,Limerick (IRE),1357,187,2015-03-14,2025-07-12
Listowel,Ireland,Listowel Racecourse,,Listowel Municipal District,Ireland,52.4427787,-9.495495,Europe/Dublin,"Nominatim conservative automatic selection from query 'Listowel racecourse, Ireland'; selected result index 0.",automatically_validated,Listowel (IRE),758,101,2015-05-31,2025-09-27
Naas,Ireland,Naas Racecourse,Naas,The Municipal District of Naas,Ireland,53.2240688,-6.6408788,Europe/Dublin,"Nominatim conservative automatic selection from query 'Naas racecourse, Ireland'; selected result index 0.",automatically_validated,Naas (IRE),1490,202,2015-01-04,2025-10-12
Navan,Ireland,Navan Racecourse,,The Municipal District of Navan,Ireland,53.6843882,-6.6748884,Europe/Dublin,"Nominatim conservative automatic selection from query 'Navan racecourse, Ireland'; selected result index 0.",automatically_validated,Navan (IRE),1431,192,2015-01-24,2025-10-08
Punchestown,Ireland,Punchestown Racecourse,,The Municipal District of Naas,Ireland,53.1844875,-6.6217481,Europe/Dublin,"Nominatim conservative automatic selection from query 'Punchestown racecourse, Ireland'; selected result index 0.",automatically_validated,Punchestown (IRE),1529,208,2015-01-10,2025-10-14
Roscommon,Ireland,Roscommon Racecourse,Roscommon,Roscommon Municipal District,Ireland,53.6436298,-8.2229149,Europe/Dublin,"Nominatim conservative automatic selection from query 'Roscommon racecourse, Ireland'; selected result index 0.",automatically_validated,Roscommon (IRE),702,96,2015-05-18,2025-10-13
Sligo,Ireland,,,,,,,Europe/Dublin,,unassigned,Sligo (IRE),593,84,2015-05-03,2025-10-01
Thurles,Ireland,Thurles Racecourse,,The Municipal District of Thurles,Ireland,52.6895238,-7.8360682,Europe/Dublin,"Nominatim conservative automatic selection from query 'Thurles racecourse, Ireland'; selected result index 0.",automatically_validated,Thurles (IRE),796,114,2015-01-05,2025-10-09
Tipperary,Ireland,Tipperary Racecourse,,The Municipal District of Cahir — Cashel,Ireland,52.5020681,-8.2067707,Europe/Dublin,"Nominatim conservative automatic selection from query 'Tipperary racecourse, Ireland'; selected result index 0.",automatically_validated,Tipperary (IRE),906,122,2015-04-09,2025-10-06
Tramore,Ireland,Waterford & Tramore Racecourse,,Waterford City Metropolitan District,Ireland,52.1724641,-7.1484586,Europe/Dublin,"Nominatim conservative automatic selection from query 'Tramore racecourse, Ireland'; selected result index 0.",automatically_validated,Tramore (IRE),845,121,2015-01-01,2025-10-09
Wexford,Ireland,Wexford Racecourse,Wexford,Leinster,Ireland,52.3391663,-6.4921651,Europe/Dublin,"Nominatim conservative automatic selection from query 'Wexford racecourse, Ireland'; selected result index 0.",automatically_validated,Wexford (IRE),789,109,2015-04-21,2025-08-29
Wexford (RH),Ireland,Wexford Racecourse,Wexford,Leinster,Ireland,52.3391663,-6.4921651,Europe/Dublin,"Nominatim conservative automatic selection from query 'Wexford racecourse, Ireland'; selected result index 0.",automatically_validated,Wexford (RH) (IRE),15,2,2015-03-17,2015-04-10
Capannelle,Italy,,,,,,,Europe/Rome,,unassigned,Capannelle (ITY),146,60,2015-04-19,2025-06-02
Firenze,Italy,Ippodromo del Visarno Cesare Meli,Florence,Tuscany,Italy,,,Europe/Rome,Italian racing authority and City of Florence identify Firenze racing as Ippodromo del Visarno Cesare Meli,timezone_validated,Firenze,1,1,2026-04-25,2026-04-25
Merano,Italy,,,,,,,Europe/Rome,,unassigned,Merano (ITY),7,7,2015-08-15,2020-08-15
Naples,Italy,,,,,,,Europe/Rome,,unassigned,Naples (ITY),6,5,2015-07-18,2022-12-10
Pisa,Italy,,,,,,,Europe/Rome,,unassigned,Pisa (ITY),3,3,2015-12-13,2019-12-08
San Siro,Italy,,,,,,,Europe/Rome,,unassigned,San Siro (ITY),207,109,2015-04-01,2025-10-12
Siracusa,Italy,,,,,,,Europe/Rome,,unassigned,Siracusa (ITY),2,2,2015-12-08,2017-12-08
Varese,Italy,,,,,,,Europe/Rome,,unassigned,Varese (ITY),1,1,2022-07-30,2022-07-30
Chukyo,Japan,,,,,,,Asia/Tokyo,,unassigned,Chukyo (JPN),129,128,2015-01-25,2025-08-31
Fukushima,Japan,,,,,,,Asia/Tokyo,,unassigned,Fukushima (JPN),39,39,2015-04-25,2025-07-13
Funabashi,Japan,,,,,,,Asia/Tokyo,,unassigned,Funabashi (JPN),20,20,2015-03-11,2024-09-26
Hakodate,Japan,Hakodate Racecourse,Hakodate,Hokkaido Prefecture,Japan,41.7812014,140.7747998,Asia/Tokyo,"Nominatim conservative automatic selection from query 'Hakodate racecourse, Japan'; selected result index 0.",automatically_validated,Hakodate (JPN),31,31,2015-06-21,2025-07-20
Hanshin,Japan,Hanshin Racecourse,Takarazuka,Hyogo Prefecture,Japan,34.7801348,135.363534,Asia/Tokyo,"Nominatim conservative automatic selection from query 'Hanshin racecourse, Japan'; selected result index 0.",automatically_validated,Hanshin (JPN),221,219,2015-02-28,2025-09-28
Kanazawa,Japan,,,,,,,Asia/Tokyo,,unassigned,Kanazawa (JPN),3,3,2015-10-06,2023-09-26
Kawasaki,Japan,Kawasaki Racecourse,Kawasaki,Kanagawa Prefecture,Japan,35.5324982,139.7108026,Asia/Tokyo,"Nominatim conservative automatic selection from query 'Kawasaki racecourse, Japan'; selected result index 0.",automatically_validated,Kawasaki (JPN),21,19,2015-01-28,2024-07-03
Kochi,Japan,高知競馬場 (Kōchi Racecourse),Kōchi,Kochi Prefecture,Japan,33.504346,133.5317744,Asia/Tokyo,"Nominatim conservative automatic selection from query 'Kochi racecourse, Japan'; selected result index 0.",automatically_validated,Kochi (JPN),2,2,2015-03-17,2021-03-16
Kokura,Japan,Kokura Racecourse,Kitakyushu,Fukuoka Prefecture,Japan,33.8429592,130.8729927,Asia/Tokyo,"Nominatim conservative automatic selection from query 'Kokura racecourse, Japan'; selected result index 0.",automatically_validated,Kokura (JPN),50,50,2015-02-22,2025-07-20
Kyoto,Japan,,,,,,,Asia/Tokyo,,unassigned,Kyoto (JPN),179,177,2015-01-04,2025-10-13
Mombetsu,Japan,,,,,,,Asia/Tokyo,,unassigned,Mombetsu (JPN),14,14,2015-06-11,2023-08-17
Morioka,Japan,,,,,,,Asia/Tokyo,,unassigned,Morioka (JPN),19,17,2015-07-20,2024-09-03
NAGOYA,Japan,,,,,,,Asia/Tokyo,,unassigned,NAGOYA (JPN),10,10,2015-03-26,2023-05-02
Nakayama,Japan,,,,,,,Asia/Tokyo,,unassigned,Nakayama (JPN),258,253,2015-01-04,2025-09-28
Niigata,Japan,Niigata Racecourse,Niigata,Niigata Prefecture,Japan,37.9483599,139.1883607,Asia/Tokyo,"Nominatim conservative automatic selection from query 'Niigata racecourse, Japan'; selected result index 0.",automatically_validated,Niigata (JPN),67,65,2015-05-10,2025-08-31
Ohi,Japan,,,,,,,Asia/Tokyo,,unassigned,Ohi (JPN),35,31,2015-01-21,2025-10-09
Saga,Japan,,,,,,,Asia/Tokyo,,unassigned,Saga (JPN),7,7,2015-02-10,2021-09-01
Sapporo,Japan,Sapporo Racecourse,Sapporo,Hokkaido Prefecture,Japan,43.077501,141.3258793,Asia/Tokyo,"Nominatim conservative automatic selection from query 'Sapporo racecourse, Japan'; selected result index 0.",automatically_validated,Sapporo (JPN),54,54,2015-08-02,2025-09-06
Sonoda,Japan,Sonoda racecourse,Amagasaki,Hyogo Prefecture,Japan,34.7662036,135.4454296,Asia/Tokyo,"Nominatim conservative automatic selection from query 'Sonoda racecourse, Japan'; selected result index 0.",automatically_validated,Sonoda (JPN),12,12,2015-05-06,2022-12-21
Tokyo,Japan,Tokyo Racecourse,Fuchu,,Japan,35.6636986,139.4854585,Asia/Tokyo,"Nominatim conservative automatic selection from query 'Tokyo racecourse, Japan'; selected result index 0.",automatically_validated,Tokyo (JPN),286,273,2015-02-01,2025-10-12
Urawa,Japan,,,,,,,Asia/Tokyo,,unassigned,Urawa (JPN),13,13,2015-05-27,2024-06-19
Les Landes,Jersey,,,,,,,Europe/Jersey,,unassigned,Les Landes (JER),433,88,2015-04-06,2025-08-25
Ashburton,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Ashburton (NZ),2,2,2019-10-19,2023-10-16
Awapuni,New Zealand,Awapuni Racecourse,Palmerston North,Manawatū-Whanganui,New Zealand,-40.3830846,175.5798534,Pacific/Auckland,"Nominatim conservative automatic selection from query 'Awapuni racecourse, New Zealand'; selected result index 0.",automatically_validated,Awapuni (NZ),7,7,2015-03-28,2022-04-02
Ellerslie,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Ellerslie (NZ),77,48,2015-01-01,2025-09-06
Hastings,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Hastings (NZ),28,28,2015-02-28,2024-09-07
Matamata,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Matamata (NZ),4,4,2015-02-21,2025-02-15
Otaki,New Zealand,Ōtaki Racecourse,Ōtaki,Wellington,New Zealand,-40.7664211,175.1675484,Pacific/Auckland,"Nominatim conservative automatic selection from query 'Otaki racecourse, New Zealand'; selected result index 0.",automatically_validated,Otaki (NZ),7,7,2015-02-21,2024-02-24
Pukekohe Park,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Pukekohe Park (NZ),3,3,2022-12-26,2024-01-01
Pukekura Raceway,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Pukekura Raceway (NZ),3,2,2015-02-14,2019-02-02
Riccarton Park,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Riccarton Park (NZ),20,20,2015-11-07,2025-05-03
Tauranga,New Zealand,Tauranga Racecourse,Greerton,Bay of Plenty,New Zealand,-37.7303917,176.1279355,Pacific/Auckland,"Nominatim conservative automatic selection from query 'Tauranga racecourse, New Zealand'; selected result index 0.",automatically_validated,Tauranga (NZ),1,1,2019-01-02,2019-01-02
Te Rapa,New Zealand,Te Rapa Racecourse,Hamilton City,Waikato,New Zealand,-37.7661978,175.24626,Pacific/Auckland,"Nominatim conservative automatic selection from query 'Te Rapa racecourse, New Zealand'; selected result index 1.",automatically_validated,Te Rapa (NZ),29,19,2015-01-31,2025-09-27
Te aroha,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Te aroha (NZ),4,4,2015-04-04,2019-04-06
Trentham,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Trentham (NZ),50,39,2015-01-17,2025-03-29
Wingatui,New Zealand,,,,,,,Pacific/Auckland,,unassigned,Wingatui (NZ),1,1,2015-02-06,2015-02-06
Ovrevoll,Norway,,,,,,,Europe/Oslo,,unassigned,Ovrevoll (NOR),37,29,2015-06-25,2025-08-24
Monterrico,Peru,,,,,,,America/Lima,,unassigned,Monterrico (PER),84,72,2015-01-11,2025-09-14
Sluzewiec,Poland,,,,,,,Europe/Warsaw,,unassigned,Sluzewiec (POL),1,1,2025-09-28,2025-09-28
Al Uqda,Qatar,,,,,,,Asia/Qatar,,unassigned,Al Uqda (QA),3,1,2025-02-16,2025-02-16
Doha,Qatar,,,,,,,Asia/Qatar,,unassigned,Doha (QA),61,37,2015-02-26,2025-02-15
Riyadh,Saudi Arabia,,,,,,,Asia/Riyadh,,unassigned,Riyadh (KSA),41,9,2020-02-29,2025-02-22
Kranji,Singapore,Kranji Racecourse,Singapore,,Singapore,1.4220553,103.7641821,Asia/Singapore,"Nominatim conservative automatic selection from query 'Kranji racecourse, Singapore'; selected result index 0.",automatically_validated,Kranji (SIN),3,2,2015-05-17,2023-07-23
Durbanville,South Africa,Durbanville Racecourse,Durbanville,Western Cape,South Africa,-33.8378867,18.6405153,Africa/Johannesburg,"Nominatim conservative automatic selection from query 'Durbanville racecourse, South Africa'; selected result index 0.",automatically_validated,Durbanville (SAF),3,3,2018-10-03,2020-10-03
Flamingo Park,South Africa,,,,,,,Africa/Johannesburg,,unassigned,Flamingo Park (SAF),9,1,2020-03-23,2020-03-23
Greyville,South Africa,Greyville Racecourse,Durban,KwaZulu-Natal,South Africa,-29.8445495,31.0099218,Africa/Johannesburg,"Nominatim conservative automatic selection from query 'Greyville racecourse, South Africa'; selected result index 0.",automatically_validated,Greyville (SAF),132,50,2015-05-30,2025-07-27
Kenilworth,South Africa,Kenilworth Racecourse,Cape Town,Western Cape,South Africa,-33.99553,18.4850198,Africa/Johannesburg,"Nominatim conservative automatic selection from query 'Kenilworth racecourse, South Africa'; selected result index 0.",automatically_validated,Kenilworth (SAF),96,55,2015-01-10,2025-02-22
Scottsville,South Africa,Scottsville Racecourse,Pietermaritzburg,KwaZulu-Natal,South Africa,-29.6092915,30.3996897,Africa/Johannesburg,"Nominatim conservative automatic selection from query 'Scottsville racecourse, South Africa'; selected result index 0.",automatically_validated,Scottsville (SAF),41,11,2015-05-23,2025-05-31
Turffontein,South Africa,,,,,,,Africa/Johannesburg,,unassigned,Turffontein (SAF),9,3,2015-03-28,2015-04-25
Turffontein Inside,South Africa,,,,,,,Africa/Johannesburg,,unassigned,Turffontein Inside (SAF),34,12,2018-04-02,2023-10-07
Turffontein Standside,South Africa,,,,,,,Africa/Johannesburg,,unassigned,Turffontein Standside (SAF),124,56,2015-11-28,2025-03-29
Vaal,South Africa,,,,,,,Africa/Johannesburg,,unassigned,Vaal (SAF),5,4,2018-02-22,2019-11-09
Busan,South Korea,,,,,,,Asia/Seoul,,unassigned,Busan (KOR),1,1,2022-11-13,2022-11-13
Seoul,South Korea,,,,,,,Asia/Seoul,,unassigned,Seoul (KOR),16,8,2016-09-11,2025-09-07
La Zarzuela,Spain,,,,,,,Europe/Madrid,,unassigned,La Zarzuela (SPA),5,5,2015-10-11,2020-10-04
San Sebastian,Spain,,,,,,,Europe/Madrid,,unassigned,San Sebastian (SPA),9,9,2015-08-15,2023-08-15
Bro Park,Sweden,,,,,,,Europe/Stockholm,,unassigned,Bro Park (SWE),64,30,2016-06-19,2025-09-21
Jagersro,Sweden,,,,,,,Europe/Stockholm,,unassigned,Jagersro (SWE),19,13,2015-05-12,2022-05-22
Taby,Sweden,,,,,,,Europe/Stockholm,,unassigned,Taby (SWE),9,4,2015-06-09,2015-11-12
Avenches,Switzerland,,,,,,,Europe/Zurich,,unassigned,Avenches (SWI),3,3,2015-07-29,2017-07-24
Dielsdorf,Switzerland,,,,,,,Europe/Zurich,,unassigned,Dielsdorf (SWI),2,2,2015-09-13,2019-09-22
Frauenfeld,Switzerland,,,,,,,Europe/Zurich,,unassigned,Frauenfeld (SWI),1,1,2016-05-16,2016-05-16
Maienfeld,Switzerland,,,,,,,Europe/Zurich,,unassigned,Maienfeld (SWI),1,1,2023-10-08,2023-10-08
St Moritz,Switzerland,,,,,,,Europe/Zurich,,unassigned,St Moritz (SWI),40,22,2016-02-14,2025-02-16
Ankara,Turkey,,,,,,,Europe/Istanbul,,unassigned,Ankara (TUR),2,2,2020-10-10,2021-10-09
Veliefendi,Turkey,,,,,,,Europe/Istanbul,,unassigned,Veliefendi (TUR),50,21,2015-09-05,2025-09-07
Abu Dhabi,United Arab Emirates,,,,,,,Asia/Dubai,,unassigned,Abu Dhabi (UAE),152,137,2015-01-04,2025-04-12
Al Ain,United Arab Emirates,,,,,,,Asia/Dubai,,unassigned,Al Ain (UAE),84,84,2015-01-10,2024-04-05
Jebel Ali,United Arab Emirates,Jebel Ali Racecourse,,Dubai Emirate,United Arab Emirates,25.0834872,55.18983,Asia/Dubai,"Nominatim conservative automatic selection from query 'Jebel Ali racecourse, United Arab Emirates'; selected result index 0.",automatically_validated,Jebel Ali (UAE),606,101,2015-01-09,2025-03-16
Meydan,United Arab Emirates,,,,,,,Asia/Dubai,,unassigned,Meydan (UAE),1320,196,2015-01-08,2025-04-05
Sharjah,United Arab Emirates,,,,,,,Asia/Dubai,,unassigned,Sharjah (UAE),57,57,2015-03-14,2025-01-12
Aqueduct,United States,Aqueduct Racetrack,New York,New York,United States,40.6721914,-73.8316329,America/New_York,"Nominatim conservative automatic selection from query 'Aqueduct racetrack, United States'; selected result index 1.",automatically_validated,Aqueduct (USA),297,181,2015-01-01,2025-04-05
Arlington Park,United States,,,,,,,America/Chicago,,unassigned,Arlington Park (USA),70,37,2015-07-11,2021-08-28
Belmont Park,United States,,,,,,,America/New_York,,unassigned,Belmont Park (USA),482,212,2015-04-29,2023-07-08
Belterra Park,United States,,,,,,,America/New_York,,unassigned,Belterra Park (USA),6,5,2018-09-03,2020-09-10
Camden (South Carolina),United States,,,,,,,America/New_York,,unassigned,Camden (South Carolina) (USA),3,3,2015-11-21,2024-11-17
Charles town,United States,,,,,,,America/New_York,,unassigned,Charles town (USA),24,16,2015-04-18,2025-08-23
Churchill Downs,United States,,,,,,,America/Kentucky/Louisville,,unassigned,Churchill Downs (USA),474,207,2015-04-26,2025-09-27
Colonial Downs,United States,,,,,,,America/New_York,,unassigned,Colonial Downs (USA),16,9,2019-09-01,2025-09-06
Del Mar,United States,Del Mar Racetrack,Del Mar,California,United States,32.9764461,-117.2578489,America/Los_Angeles,"Nominatim conservative automatic selection from query 'Del Mar racetrack, United States'; selected result index 0.",automatically_validated,Del Mar (USA),398,250,2015-07-18,2025-09-08
Delaware Park,United States,,,,,,,America/New_York,,unassigned,Delaware Park (USA),49,31,2015-06-20,2025-09-28
Delta downs,United States,,,,,,,America/Chicago,,unassigned,Delta downs (USA),10,4,2015-02-07,2016-11-19
Ellis Park,United States,,,,,,,America/Chicago,,unassigned,Ellis Park (USA),33,26,2015-08-08,2025-08-03
Emerald Downs,United States,,,,,,,America/Los_Angeles,,unassigned,Emerald Downs (USA),7,7,2015-08-17,2021-08-16
Fair Grounds,United States,,,,,,,America/Chicago,,unassigned,Fair Grounds (USA),112,47,2015-01-17,2025-03-22
Far Hills,United States,,,,,,,America/New_York,,unassigned,Far Hills (USA),23,9,2015-10-17,2024-10-19
Finger Lakes,United States,,,,,,,America/New_York,,unassigned,Finger Lakes (USA),3,3,2019-09-09,2019-11-25
Fonner Park,United States,,,,,,,America/Chicago,,unassigned,Fonner Park (USA),68,12,2020-04-27,2020-05-28
Golden Gate Fields,United States,,,,,,,America/Los_Angeles,,unassigned,Golden Gate Fields (USA),54,35,2015-01-17,2024-04-28
Great Meadow,United States,,,,,,,America/New_York,,unassigned,Great Meadow (USA),3,3,2019-05-04,2025-05-03
Gulfstream Park,United States,,,,,,,America/New_York,,unassigned,Gulfstream Park (USA),745,240,2015-01-03,2025-09-20
Gulfstream Park West,United States,,,,,,,America/New_York,,unassigned,Gulfstream Park West (USA),12,8,2015-11-21,2020-10-21
Hawthorne,United States,,,,,,,America/Chicago,,unassigned,Hawthorne (USA),6,5,2015-04-18,2017-11-25
Indiana Grand,United States,,,,,,,America/Indiana/Indianapolis,,unassigned,Indiana Grand (USA),40,25,2015-07-19,2025-07-05
Keeneland,United States,,,,,,,America/New_York,,unassigned,Keeneland (USA),409,202,2015-04-03,2025-10-12
Kentucky Downs,United States,,,,,,,America/Chicago,,unassigned,Kentucky Downs (USA),86,36,2015-09-15,2025-09-10
Laurel Park,United States,,,,,,,America/New_York,,unassigned,Laurel Park (USA),71,45,2015-01-01,2025-02-22
Lone Star Park,United States,,,,,,,America/Chicago,,unassigned,Lone Star Park (USA),14,14,2015-05-02,2025-05-27
Los Alamitos,United States,,,,,,,America/Los_Angeles,,unassigned,Los Alamitos (USA),48,41,2015-07-05,2025-07-06
Louisiana Downs,United States,,,,,,,America/Chicago,,unassigned,Louisiana Downs (USA),4,4,2015-09-12,2019-09-07
Mahoning Valley,United States,,,,,,,America/New_York,,unassigned,Mahoning Valley (USA),2,2,2017-11-20,2019-12-28
Meadowlands,United States,,,,,,,America/New_York,,unassigned,Meadowlands (USA),1,1,2018-09-23,2018-09-23
Middleburg,United States,,,,,,,America/New_York,,unassigned,Middleburg (USA),1,1,2024-10-27,2024-10-27
Monmouth Park,United States,Monmouth Park Racetrack,Oceanport,New Jersey,United States,40.3090591,-74.0209449,America/New_York,"Nominatim conservative automatic selection from query 'Monmouth Park racetrack, United States'; selected result index 0.",automatically_validated,Monmouth Park (USA),139,85,2015-05-16,2025-08-16
Montpelier,United States,,,,,,,America/New_York,,unassigned,Montpelier (USA),1,1,2023-11-04,2023-11-04
Mountaineer Park,United States,,,,,,,America/New_York,,unassigned,Mountaineer Park (USA),18,12,2015-04-05,2025-08-04
Oaklawn Park,United States,,,,,,,America/Chicago,,unassigned,Oaklawn Park (USA),157,96,2015-01-15,2025-04-20
Parx,United States,,,,,,,America/New_York,,unassigned,Parx (USA),85,47,2015-07-04,2025-09-20
Penn National,United States,,,,,,,America/New_York,,unassigned,Penn National (USA),13,13,2015-05-30,2025-06-28
Percy Warner Park,United States,,,,,,,America/Chicago,,unassigned,Percy Warner Park (USA),13,9,2016-05-14,2025-05-10
Pimlico,United States,,,,,,,America/New_York,,unassigned,Pimlico (USA),100,32,2015-04-18,2025-05-18
Pine Mountain,United States,,,,,,,America/New_York,,unassigned,Pine Mountain (USA),1,1,2023-11-04,2023-11-04
Prairie Meadows,United States,,,,,,,America/Chicago,,unassigned,Prairie Meadows (USA),22,15,2015-05-25,2025-07-06
Presque Isle Downs,United States,,,,,,,America/New_York,,unassigned,Presque Isle Downs (USA),9,9,2015-09-08,2025-09-20
Remington Park,United States,,,,,,,America/Chicago,,unassigned,Remington Park (USA),25,17,2015-09-27,2025-09-29
Retama Park,United States,,,,,,,America/Chicago,,unassigned,Retama Park (USA),1,1,2015-09-13,2015-09-13
Sam Houston,United States,,,,,,,America/Chicago,,unassigned,Sam Houston (USA),18,12,2015-01-25,2025-01-25
Santa Anita,United States,Little Santa Anita Racetrack,Dayton,Idaho,United States,42.0937763,-111.9567817,America/Boise,"Nominatim conservative automatic selection from query 'Santa Anita racetrack, United States'; selected result index 0.",automatically_validated,Santa Anita (USA),828,453,2015-01-03,2025-10-06
Saratoga,United States,,,,,,,America/New_York,,unassigned,Saratoga (USA),528,273,2015-07-24,2025-09-01
Sunland Park,United States,,,,,,,America/Denver,,unassigned,Sunland Park (USA),11,10,2015-01-24,2025-02-16
Tampa Bay Downs,United States,,,,,,,America/New_York,,unassigned,Tampa Bay Downs (USA),107,47,2015-01-04,2025-03-08
Thistledown,United States,,,,,,,America/New_York,,unassigned,Thistledown (USA),10,10,2015-06-20,2025-06-21
Timonium,United States,Timonium Racetrack,Timonium,Maryland,United States,39.4442584,-76.6311797,America/New_York,"Nominatim conservative automatic selection from query 'Timonium racetrack, United States'; selected result index 0.",automatically_validated,Timonium (USA),1,1,2019-08-23,2019-08-23
Turf Paradise,United States,,,,,,,America/Phoenix,,unassigned,Turf Paradise (USA),1,1,2015-02-18,2015-02-18
Turfway Park,United States,,,,,,,America/New_York,,unassigned,Turfway Park (USA),24,16,2015-02-28,2025-03-22
Will Rogers Downs,United States,,,,,,,America/Chicago,,unassigned,Will Rogers Downs (USA),178,18,2020-03-23,2020-05-20
Zia park,United States,,,,,,,America/Denver,,unassigned,Zia park (USA),2,2,2017-11-22,2024-11-26
Maronas,Uruguay,,,,,,,America/Montevideo,,unassigned,Maronas (URU),68,40,2015-01-06,2025-01-06
