candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Warwick,Great Britain,1201,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Sedgefield,Great Britain,1199,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Newton Abbot,Great Britain,1169,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Cheltenham,Great Britain,1120,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Chester,Great Britain,1064,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Perth,Great Britain,1049,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Hexham,Great Britain,1047,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Galway,Ireland,1029,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Maisons-Laffitte,France,985,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Kelso,Great Britain,979,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Down Royal,Ireland,927,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Kempton,Great Britain,834,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Gulfstream Park,United States,745,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Fakenham,Great Britain,738,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Downpatrick,Ireland,738,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Randwick,Australia,719,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Epsom,Great Britain,711,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Kilbeggan,Ireland,692,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Cartmel,Great Britain,619,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
