candidate_course_label,candidate_jurisdiction,exact_query,result_index,provider_place_id,provider_name,provider_display_name,country_code_match,course_name_match,racecourse_name_match,provider_object_match,suspicious_name_match,automatic_eligible,provider_class,provider_type,course_decision,decision_reason
Capannelle,Italy,"Capannelle ippodromo, Italy",1,relation:1115921,Ippodromo delle Capannelle,"Ippodromo delle Capannelle, Grande Raccordo Anulare, Capannelle, Municipio Roma VII, Osteria del Curato, Rome, Roma Capitale, Lazio, 00178, Italy",True,True,False,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Gavea,Brazil,"Gavea hipódromo, Brazil",0,way:15018420,Jockey Club Brasileiro,"Jockey Club Brasileiro, 31, Praça Santos Dumont, Gávea, Rio de Janeiro, Southeast Region, 22470-060, Brazil",True,False,True,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Gavea,Brazil,"Gavea hipodromo, Brazil",0,way:15018420,Jockey Club Brasileiro,"Jockey Club Brasileiro, 31, Praça Santos Dumont, Gávea, Rio de Janeiro, Southeast Region, 22470-060, Brazil",True,False,True,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Fontainebleau,France,"Fontainebleau hippodrome, France",0,way:39539612,Hippodrome de la Solle,"Hippodrome de la Solle, Route des Deux Sœurs, Fontainebleau, Seine-et-Marne, Ile-de-France, Metropolitan France, 77300, France",True,False,True,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Cologne,Germany,"Cologne rennbahn, Germany",0,node:8327945385,Kiosk Cologne,"Kiosk Cologne, 2, Rennbahnstraße, Weidenpesch, Nippes, Cologne, North Rhine-Westphalia, 50737, Germany",True,True,False,False,False,False,shop,kiosk,manual_review_required,No returned object passed every conservative automatic acceptance check.
Dusseldorf,Germany,"Dusseldorf rennbahn, Germany",0,relation:75806,Pferderennbahn Düsseldorf,"Pferderennbahn Düsseldorf, 20, Rennbahnstraße, Grafenberg, Ludenberg, Stadtbezirk 7, Dusseldorf, North Rhine-Westphalia, 40629, Germany",True,True,False,True,False,False,leisure,stadium,manual_review_required,No returned object passed every conservative automatic acceptance check.
Hipodromo Chile,Chile,"Hipodromo Chile hipódromo, Chile",0,way:446887347,Edificio Alto Hipódromo,"Edificio Alto Hipódromo, 1701, Avenida Hipódromo Chile, Población Vivaceta Norte, Independencia, Santiago, Provincia de Santiago, Santiago Metropolitan Region, 8320000, Chile",True,False,True,False,False,False,building,apartments,manual_review_required,No returned object passed every conservative automatic acceptance check.
Hipodromo Chile,Chile,"Hipodromo Chile hipódromo, Chile",1,way:581041202,Edificio Vista Hipódromo,"Edificio Vista Hipódromo, 1631, Avenida Hipódromo Chile, Población Vivaceta Norte, Independencia, Santiago, Provincia de Santiago, Santiago Metropolitan Region, 8320000, Chile",True,False,True,False,False,False,building,apartments,manual_review_required,No returned object passed every conservative automatic acceptance check.
Hipodromo Chile,Chile,"Hipodromo Chile hipodromo, Chile",0,way:446887347,Edificio Alto Hipódromo,"Edificio Alto Hipódromo, 1701, Avenida Hipódromo Chile, Población Vivaceta Norte, Independencia, Santiago, Provincia de Santiago, Santiago Metropolitan Region, 8320000, Chile",True,False,True,False,False,False,building,apartments,manual_review_required,No returned object passed every conservative automatic acceptance check.
Hipodromo Chile,Chile,"Hipodromo Chile hipodromo, Chile",1,way:581041202,Edificio Vista Hipódromo,"Edificio Vista Hipódromo, 1631, Avenida Hipódromo Chile, Población Vivaceta Norte, Independencia, Santiago, Provincia de Santiago, Santiago Metropolitan Region, 8320000, Chile",True,False,True,False,False,False,building,apartments,manual_review_required,No returned object passed every conservative automatic acceptance check.
